ID,Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK
482,David Neres, BRA,"FW,MF",Benfica,25,1997,9,4,444,4.9,3,1,4,3,0
483,Luís Neto, POR,DF,Sporting CP,34,1988,1,0,39,0.4,0,0,0,0,0
484,Manuel Neuer, GER,GK,Bayern Munich,36,1986,3,3,270,3.0,0,0,0,0,0
485,João Neves, POR,"FW,MF",Benfica,17,2004,3,0,29,0.3,0,1,1,0,0
486,Neymar, BRA,"MF,FW",Paris S-G,30,1992,6,6,539,6.0,2,2,4,2,0
487,Tanguy Nianzou, FRA,DF,Sevilla,20,2002,2,2,180,2.0,1,0,1,1,0
488,Casper Nielsen, DEN,MF,Club Brugge,28,1994,8,7,645,7.2,0,1,1,0,0
489,Saúl Ñíguez, ESP,"MF,DF",Atlético Madrid,27,1994,5,4,281,3.1,0,0,0,0,0
490,Christopher Nkunku, FRA,"MF,FW",RB Leipzig,24,1997,7,6,562,6.2,3,1,4,3,0
491,Hugo Novoa, ESP,MF,RB Leipzig,19,2003,1,0,3,0.0,0,0,0,0,0
492,Darwin Núñez, URU,FW,Liverpool,23,1999,8,5,399,4.4,4,1,5,4,0
493,Antonio Nusa, NOR,FW,Club Brugge,17,2005,4,0,57,0.6,1,0,1,1,0
494,Matt O'Riley, DEN,MF,Celtic,21,2000,6,6,481,5.3,0,0,0,0,0
495,Jan Oblak, SVN,GK,Atlético Madrid,29,1993,5,5,450,5.0,0,0,0,0,0
496,Lucas Ocampos, ARG,FW,Ajax,28,1994,2,0,17,0.2,0,0,0,0,0
497,Oleh Ocheretko, UKR,MF,Shakhtar,19,2003,1,0,14,0.2,0,0,0,0,0
498,Denis Odoi, GHA,"DF,MF",Club Brugge,34,1988,7,6,523,5.8,0,0,0,0,0
499,Noah Okafor, SUI,FW,RB Salzburg,22,2000,6,6,465,5.2,3,0,3,2,1
500,Mathías Olivera, URU,DF,Napoli,24,1997,8,5,514,5.7,0,2,2,0,0
501,Dani Olmo, ESP,"FW,MF",RB Leipzig,24,1998,3,0,65,0.7,0,0,0,0,0
502,André Onana, CMR,GK,Inter,26,1996,13,13,"1,170",13.0,0,0,0,0,0
503,Raphael Onyedika, NGA,MF,Club Brugge,21,2001,7,6,567,6.3,0,0,0,0,0
504,Willi Orban, HUN,DF,RB Leipzig,29,1992,8,8,720,8.0,0,0,0,0,0
505,Divock Origi, BEL,FW,Milan,27,1995,8,0,154,1.7,0,0,0,0,0
506,Mislav Oršić, CRO,FW,Dinamo Zagreb,29,1992,6,6,490,5.4,2,0,2,2,0
507,Stefan Ortega, GER,GK,Manchester City,29,1992,2,2,180,2.0,0,0,0,0,0
508,Victor Osimhen, NGA,FW,Napoli,23,1998,6,5,421,4.7,5,0,5,5,0
509,Nicolás Otamendi, ARG,DF,Benfica,34,1988,9,9,793,8.8,0,1,1,0,0
510,Otávio, POR,MF,Porto,27,1995,7,6,526,5.8,0,2,2,0,0
511,Alex Oxlade-Chamberlain, ENG,MF,Liverpool,28,1993,1,0,18,0.2,0,0,0,0,0
512,Salih Özcan, TUR,MF,Dortmund,24,1998,7,7,541,6.0,0,1,1,0,0
513,Exequiel Palacios, ARG,MF,Leverkusen,23,1998,2,1,90,1.0,0,0,0,0,0
514,Cole Palmer, ENG,"MF,FW",Manchester City,20,2002,4,1,138,1.5,0,0,0,0,0
515,Antonios Papadopoulos, GER,"MF,FW",Dortmund,22,1999,2,0,10,0.1,0,0,0,0,0
516,Leandro Paredes, ARG,MF,Juventus,28,1994,4,4,354,3.9,0,1,1,0,0
517,Felix Passlack, GER,DF,Dortmund,24,1998,1,1,90,1.0,0,1,1,0,0
518,Remko Pasveer, NED,GK,Ajax,38,1983,6,6,540,6.0,0,0,0,0,0
519,Paulinho, POR,FW,Sporting CP,29,1992,5,2,236,2.6,1,0,1,1,0
520,Paulinho, BRA,FW,Leverkusen,22,2000,2,0,49,0.5,0,0,0,0,0
521,Benjamin Pavard, FRA,DF,Bayern Munich,26,1996,9,7,592,6.6,2,0,2,2,0
522,Strahinja Pavlović, SRB,DF,RB Salzburg,21,2001,6,6,540,6.0,0,0,0,0,0
523,Dimitri Payet, FRA,MF,Marseille,35,1987,2,1,77,0.9,0,0,0,0,0
524,Pedri, ESP,"MF,FW",Barcelona,19,2002,5,5,401,4.5,0,0,0,0,0
525,Luca Pellegrini, ITA,"DF,MF",Eint Frankfurt,23,1999,4,1,201,2.2,0,0,0,0,0
526,Iñaki Peña, ESP,GK,Barcelona,23,1999,1,1,90,1.0,0,0,0,0,0
527,Pepe, POR,DF,Porto,39,1983,4,4,360,4.0,0,0,0,0,0
528,Pepê, BRA,"DF,FW",Porto,25,1997,8,8,685,7.6,0,0,0,0,0
529,Danilo Pereira, POR,"DF,MF",Paris S-G,30,1991,7,5,450,5.0,0,0,0,0,0
530,Dino Perić, CRO,DF,Dinamo Zagreb,28,1994,6,6,540,6.0,0,0,0,0,0
531,Mattia Perin, ITA,GK,Juventus,29,1992,2,2,180,2.0,0,0,0,0,0
532,Ivan Perišić, CRO,"DF,MF",Tottenham,33,1989,7,7,572,6.4,0,3,3,0,0
533,Luděk Pernica, CZE,DF,Viktoria Plzeň,32,1990,6,5,495,5.5,0,0,0,0,0
534,Bruno Petković, CRO,FW,Dinamo Zagreb,27,1994,6,6,490,5.4,1,2,3,1,0
535,Ivan Petryak, UKR,MF,Shakhtar,28,1994,6,1,180,2.0,0,0,0,0,0
536,Kalvin Phillips, ENG,MF,Manchester City,26,1995,3,0,41,0.5,0,0,0,0,0
537,Frantzdy Pierrot, HAI,FW,Maccabi Haifa,27,1995,6,6,481,5.3,0,2,2,0,0
538,Václav Pilař, CZE,"FW,MF",Viktoria Plzeň,33,1988,5,1,123,1.4,0,0,0,0,0
539,Rodrigo Pinho, BRA,FW,Benfica,31,1991,2,0,15,0.2,0,0,0,0,0
540,Gerard Piqué, ESP,DF,Barcelona,35,1987,4,2,258,2.9,0,0,0,0,0
541,Tommaso Pobega, ITA,MF,Milan,23,1999,8,0,163,1.8,1,0,1,1,0
542,Suf Podgoreanu, ISR,DF,Maccabi Haifa,20,2002,1,0,12,0.1,0,0,0,0,0
543,Matteo Politano, ITA,FW,Napoli,28,1993,9,6,403,4.5,1,1,2,0,1
544,Pedro Porro, ESP,"DF,MF",Sporting CP,22,1999,5,4,392,4.4,0,1,1,0,0
545,Pedro Porro, ESP,DF,Tottenham,22,1999,1,0,38,0.4,0,0,0,0,0
546,Yussuf Poulsen, DEN,"FW,MF",RB Leipzig,28,1994,5,0,72,0.8,0,0,0,0,0
547,Christian Pulisic, USA,"DF,FW",Chelsea,23,1998,5,1,113,1.3,0,1,1,0,0
548,Adrien Rabiot, FRA,MF,Juventus,27,1995,5,5,446,5.0,2,0,2,2,0
549,Ivan Rakitić, CRO,MF,Sevilla,34,1988,6,6,418,4.6,0,1,1,0,0
550,Gonçalo Ramos, POR,FW,Benfica,21,2001,10,10,712,7.9,3,1,4,3,0
551,Sergio Ramos, ESP,DF,Paris S-G,36,1986,8,8,720,8.0,0,0,0,0,0
552,Calvin Ramsay, SCO,DF,Liverpool,19,2003,1,0,4,0.0,0,0,0,0,0
553,Raphinha, BRA,FW,Barcelona,25,1996,5,4,294,3.3,0,2,2,0,0
554,Giacomo Raspadori, ITA,FW,Napoli,22,2000,7,3,250,2.8,4,3,7,4,0
555,David Raum, GER,DF,RB Leipzig,24,1998,8,6,531,5.9,0,0,0,0,0
556,Ante Rebić, CRO,"FW,MF",Milan,28,1993,7,2,249,2.8,0,0,0,0,0
557,Matheus Reis, BRA,DF,Sporting CP,27,1995,6,5,509,5.7,0,0,0,0,0
558,Karim Rekik, NED,DF,Sevilla,27,1994,1,1,90,1.0,0,0,0,0,0
559,Devyne Rensch, NED,DF,Ajax,19,2003,4,3,287,3.2,0,0,0,0,0
560,Marco Reus, GER,"MF,FW",Dortmund,33,1989,3,3,262,2.9,1,1,2,1,0
561,Gio Reyna, USA,"FW,MF",Dortmund,19,2002,6,3,383,4.3,0,2,2,0,0
562,Richarlison, BRA,"MF,FW",Tottenham,25,1997,6,4,365,4.1,2,0,2,2,0
563,Stefan Ristovski, MKD,DF,Dinamo Zagreb,30,1992,5,5,370,4.1,0,0,0,0,0
564,Mats Rits, BEL,MF,Club Brugge,29,1993,1,0,17,0.2,0,0,0,0,0
565,Sergi Roberto, ESP,DF,Barcelona,30,1992,3,3,206,2.3,0,2,2,0,0
566,Andrew Robertson, SCO,DF,Liverpool,28,1994,5,4,378,4.2,0,2,2,0,0
567,Rochinha, POR,"MF,FW",Sporting CP,27,1995,1,0,18,0.2,0,0,0,0,0
568,Sebastian Rode, GER,MF,Eint Frankfurt,31,1990,6,3,299,3.3,0,1,1,0,0
569,Rodri, ESP,MF,Manchester City,26,1996,12,11,995,11.1,2,0,2,2,0
570,Rodrygo, BRA,FW,Real Madrid,21,2001,12,10,819,9.1,5,2,7,3,2
571,Cristian Romero, ARG,DF,Tottenham,24,1998,7,7,598,6.6,0,0,0,0,0
572,Valentin Rongier, FRA,MF,Marseille,27,1994,6,5,471,5.2,0,0,0,0,0
573,Tom Rothe, GER,DF,Dortmund,17,2004,3,1,61,0.7,0,0,0,0,0
574,Amir Rrahmani, KVX,DF,Napoli,28,1994,7,7,613,6.8,0,0,0,0,0
575,Antonio Rüdiger, GER,DF,Real Madrid,29,1993,10,6,678,7.5,1,0,1,1,0
576,Daniele Rugani, ITA,DF,Juventus,28,1994,1,1,90,1.0,0,0,0,0,0
577,Mário Rui, POR,DF,Napoli,31,1991,6,5,386,4.3,0,1,1,0,0
578,Fabián Ruiz Peña, ESP,MF,Paris S-G,26,1996,7,3,238,2.6,0,0,0,0,0
579,Nikita Rukavytsya, AUS,"FW,MF",Maccabi Haifa,35,1987,6,0,47,0.5,0,0,0,0,0
580,Mathew Ryan, AUS,GK,FC Copenhagen,30,1992,2,2,180,2.0,0,0,0,0,0
581,Julian Ryerson, NOR,DF,Dortmund,24,1997,1,0,18,0.2,0,0,0,0,0
582,Marcel Sabitzer, AUT,MF,Bayern Munich,28,1994,6,3,280,3.1,0,0,0,0,0
583,Alexis Saelemaekers, BEL,"FW,DF",Milan,23,1999,8,4,371,4.1,2,0,2,2,0
584,Fashion Sakala, ZAM,"FW,MF",Rangers,25,1997,4,2,235,2.6,0,0,0,0,0
585,Mohamed Salah, EGY,FW,Liverpool,30,1992,8,7,624,6.9,8,2,10,7,1
586,Renato Sanches, POR,MF,Paris S-G,24,1997,3,1,141,1.6,0,0,0,0,0
587,Alexis Sánchez, CHI,FW,Marseille,33,1988,5,5,418,4.6,2,1,3,2,0
588,Davinson Sánchez, COL,DF,Tottenham,26,1996,2,0,21,0.2,0,0,0,0,0
589,Cisse Sandra, BEL,FW,Club Brugge,18,2003,1,0,8,0.1,0,0,0,0,0
590,Alex Sandro, BRA,DF,Juventus,31,1991,4,2,239,2.7,0,0,0,0,0
591,James Sands, USA,"DF,MF",Rangers,22,2000,4,4,324,3.6,0,0,0,0,0
592,Leroy Sané, GER,"FW,MF",Bayern Munich,26,1996,8,7,552,6.1,4,1,5,4,0
593,Nuno Santos, POR,"DF,MF",Sporting CP,27,1995,6,5,295,3.3,1,0,1,1,0
594,Zaidu Sanusi, NGA,DF,Porto,25,1997,8,7,585,6.5,1,0,1,1,0
595,Alvaro Sanz, ESP,MF,Barcelona,21,2001,1,0,14,0.2,0,0,0,0,0
596,Pablo Sarabia, ESP,MF,Paris S-G,30,1992,3,1,91,1.0,0,0,0,0,0
597,Stefan Savić, MNE,DF,Atlético Madrid,31,1991,3,3,270,3.0,0,0,0,0,0
598,Patrik Schick, CZE,FW,Leverkusen,26,1996,5,5,446,5.0,0,0,0,0,0
599,Andreas Schjelderup, NOR,FW,Benfica,18,2004,1,0,2,0.0,0,0,0,0,0
600,Xaver Schlager, AUT,MF,RB Leipzig,24,1997,7,7,583,6.5,0,0,0,0,0
601,Nico Schlotterbeck, GER,DF,Dortmund,22,1999,8,6,561,6.2,0,0,0,0,0
602,Abdoulaye Seck, SEN,DF,Maccabi Haifa,30,1992,6,4,397,4.4,2,0,2,2,0
603,Nicolas Seiwald, AUT,MF,RB Salzburg,21,2001,6,6,540,6.0,1,0,1,1,0
604,Benjamin Šeško, SVN,FW,RB Salzburg,19,2003,6,3,330,3.7,0,0,0,0,0
605,Ryan Sessegnon, ENG,"MF,DF",Tottenham,22,2000,3,2,155,1.7,0,0,0,0,0
606,Maryan Shved, UKR,MF,Shakhtar,25,1997,3,3,187,2.1,2,0,2,2,0
607,Danylo Sikan, UKR,FW,Shakhtar,21,2001,4,0,104,1.2,0,1,1,0,0
608,André Silva, POR,FW,RB Leipzig,26,1995,8,6,533,5.9,3,3,6,3,0
609,António Silva, POR,DF,Benfica,18,2003,10,10,894,9.9,2,0,2,2,0
610,Bernardo Silva, POR,"FW,MF",Manchester City,27,1994,13,9,911,10.1,3,1,4,3,0
611,Rafa Silva, POR,MF,Benfica,29,1993,10,10,819,9.1,5,2,7,5,0
612,Thiago Silva, BRA,DF,Chelsea,37,1984,8,7,640,7.1,0,0,0,0,0
613,Mohamed Simakan, FRA,DF,RB Leipzig,22,2000,7,6,511,5.7,1,3,4,1,0
614,Giovanni Simeone, ARG,FW,Napoli,27,1995,7,2,263,2.9,4,0,4,4,0
615,Roko Simic, CRO,FW,RB Salzburg,18,2003,2,0,18,0.2,0,0,0,0,0
616,Oliver Skipp, ENG,MF,Tottenham,21,2000,4,2,211,2.3,0,0,0,0,0
617,Leo Skiri Østigård, NOR,DF,Napoli,22,1999,3,2,197,2.2,1,0,1,1,0
618,Andreas Skov Olsen, DEN,"FW,MF",Club Brugge,22,1999,5,4,295,3.3,1,1,2,1,0
619,Milan Škriniar, SVK,DF,Inter,27,1995,8,6,536,6.0,0,0,0,0,0
620,Hrvoje Smolčić, CRO,DF,Eint Frankfurt,21,2000,3,1,122,1.4,0,0,0,0,0
621,Eduard Sobol, UKR,"FW,DF",Club Brugge,27,1995,4,1,109,1.2,0,0,0,0,0
622,Carlos Soler, ESP,MF,Paris S-G,25,1997,6,2,155,1.7,1,0,1,1,0
623,Oumar Solet, FRA,DF,RB Salzburg,22,2000,4,4,266,3.0,0,0,0,0,0
624,Yann Sommer, SUI,GK,Bayern Munich,33,1988,4,4,360,4.0,0,0,0,0,0
625,Matìas Soulé, ARG,"MF,FW",Juventus,19,2003,3,0,44,0.5,0,0,0,0,0
626,Djibril Sow, SUI,MF,Eint Frankfurt,25,1997,8,8,720,8.0,0,0,0,0,0
627,Kamal Sowah, GHA,"FW,MF",Club Brugge,22,2000,7,7,591,6.6,2,0,2,2,0
628,Dario Špikić, CRO,"FW,DF",Dinamo Zagreb,23,1999,6,1,167,1.9,0,0,0,0,0
629,Jorne Spileers, BEL,DF,Club Brugge,17,2005,1,0,2,0.0,0,0,0,0,0
630,Jerry St. Juste, NED,DF,Sporting CP,25,1996,4,3,189,2.1,0,0,0,0,0
631,Marko Stamenic, NZL,MF,FC Copenhagen,20,2002,3,3,269,3.0,0,0,0,0,0
632,Jindřich Staněk, CZE,GK,Viktoria Plzeň,26,1996,5,5,450,5.0,0,0,0,0,0
633,Josip Stanišić, CRO,DF,Bayern Munich,22,2000,8,3,349,3.9,0,0,0,0,0
634,Carl Starfelt, SWE,DF,Celtic,27,1995,1,1,90,1.0,0,0,0,0,0
635,Orri Steinn Óskarsson, ISL,"MF,FW",FC Copenhagen,17,2004,2,0,22,0.2,0,0,0,0,0
636,Taras Stepanenko, UKR,MF,Shakhtar,32,1989,6,6,532,5.9,0,0,0,0,0
637,Raheem Sterling, ENG,"FW,MF",Chelsea,27,1994,9,8,630,7.0,3,1,4,3,0
638,John Stones, ENG,"MF,DF",Manchester City,28,1994,8,8,684,7.6,1,1,2,1,0
639,Luka Sučić, CRO,MF,RB Salzburg,19,2002,5,5,398,4.4,0,0,0,0,0
640,Heorhii Sudakov, UKR,MF,Shakhtar,19,2002,6,6,480,5.3,0,2,2,0,0
641,Niklas Süle, GER,DF,Dortmund,26,1995,8,7,675,7.5,0,0,0,0,0
642,Daniel Sundgren, SWE,DF,Maccabi Haifa,31,1990,4,4,324,3.6,0,0,0,0,0
643,Suso, ESP,"FW,MF",Sevilla,28,1993,6,3,237,2.6,0,0,0,0,0
644,Josip Šutalo, CRO,DF,Dinamo Zagreb,22,2000,6,6,540,6.0,0,0,0,0,0
645,Jan Sýkora, CZE,"FW,DF",Viktoria Plzeň,28,1993,2,2,148,1.6,1,0,1,1,0
646,Abakar Sylla, CIV,DF,Club Brugge,19,2002,6,6,492,5.5,1,0,1,1,0
647,Wojciech Szczęsny, POL,GK,Juventus,32,1990,4,4,360,4.0,0,0,0,0,0
648,Dominik Szoboszlai, HUN,FW,RB Leipzig,21,2000,8,8,653,7.3,1,2,3,1,0
649,Christian Sørensen, DEN,"DF,MF",FC Copenhagen,29,1992,5,1,102,1.1,0,0,0,0,0
650,Dušan Tadić, SRB,FW,Ajax,33,1988,5,5,432,4.8,0,1,1,0,0
651,Jonathan Tah, GER,DF,Leverkusen,26,1996,6,5,481,5.3,0,0,0,0,0
652,Japhet Tanganga, ENG,DF,Tottenham,23,1999,1,0,18,0.2,0,0,0,0,0
653,Edmond Tapsoba, BFA,DF,Leverkusen,23,1999,5,4,349,3.9,0,0,0,0,0
654,Mehdi Taremi, IRN,FW,Porto,30,1992,7,7,611,6.8,5,2,7,3,2
655,Ciprian Tătărușanu, ROU,GK,Milan,36,1986,5,5,450,5.0,0,0,0,0,0
656,Nuno Tavares, POR,DF,Marseille,22,2000,6,6,540,6.0,0,0,0,0,0
657,James Tavernier, ENG,DF,Rangers,30,1991,6,6,486,5.4,1,0,1,0,1
658,Greg Taylor, SCO,DF,Celtic,24,1997,6,6,540,6.0,0,0,0,0,0
659,Kenneth Taylor, NED,MF,Ajax,20,2002,6,5,417,4.6,0,1,1,0,0
660,Lucas Taylor, BRA,DF,Shakhtar,27,1995,5,3,312,3.5,0,0,0,0,0
661,Mavis Tchibota, CGO,FW,Maccabi Haifa,26,1996,4,1,93,1.0,0,0,0,0,0
662,Aurélien Tchouaméni, FRA,MF,Real Madrid,22,2000,10,5,432,4.8,0,0,0,0,0
663,Mathys Tel, FRA,FW,Bayern Munich,17,2005,5,0,145,1.6,0,0,0,0,0
664,Alex Telles, BRA,"DF,FW",Sevilla,29,1992,6,4,391,4.3,0,1,1,0,0
665,Marc-André ter Stegen, GER,GK,Barcelona,30,1992,5,5,450,5.0,0,0,0,0,0
666,Kévin Théophile-Catherine, FRA,DF,Dinamo Zagreb,32,1989,1,1,75,0.8,0,0,0,0,0
667,Malick Thiaw, GER,DF,Milan,20,2001,4,3,275,3.1,0,0,0,0,0
668,Mohamed Tijani, BEN,DF,Viktoria Plzeň,25,1997,3,2,168,1.9,0,0,0,0,0
669,Malik Tillman, USA,MF,Rangers,20,2002,5,4,244,2.7,0,0,0,0,0
670,Jurriën Timber, NED,DF,Ajax,21,2001,6,6,529,5.9,0,0,0,0,0
671,Fikayo Tomori, ENG,DF,Milan,24,1997,10,10,827,9.2,0,0,0,0,0
672,Sandro Tonali, ITA,MF,Milan,22,2000,12,12,"1,051",11.7,0,2,2,0,0
673,Pablo Torre, ESP,"MF,FW",Barcelona,19,2003,3,1,95,1.1,1,0,1,1,0
674,Ferrán Torres, ESP,"FW,MF",Barcelona,22,2000,5,1,188,2.1,3,1,4,3,0
675,Andriy Totovytskyi, UKR,MF,Shakhtar,29,1993,1,0,17,0.2,0,0,0,0,0
676,Kevin Trapp, GER,GK,Eint Frankfurt,32,1990,8,8,720,8.0,0,0,0,0,0
677,Francisco Trincão, POR,"MF,FW",Sporting CP,22,1999,6,5,386,4.3,2,0,2,2,0
678,Anatolii Trubin, UKR,GK,Shakhtar,20,2001,6,6,540,6.0,0,0,0,0,0
679,Kostas Tsimikas, GRE,DF,Liverpool,26,1996,6,4,342,3.8,0,2,2,0,0
680,David Turnbull, SCO,MF,Celtic,23,1999,5,0,103,1.1,0,0,0,0,0
681,Tuta, BRA,DF,Eint Frankfurt,23,1999,7,7,599,6.7,0,0,0,0,0
682,Marián Tvrdoň, SVK,GK,Viktoria Plzeň,27,1994,1,1,90,1.0,0,0,0,0,0
683,Manuel Ugarte Ribeiro, URU,MF,Sporting CP,21,2001,6,6,467,5.2,0,0,0,0,0
684,Andreas Ulmer, AUT,DF,RB Salzburg,36,1985,6,4,375,4.2,0,0,0,0,0
685,Sven Ulreich, GER,GK,Bayern Munich,33,1988,3,3,270,3.0,0,0,0,0,0
686,Cengiz Ünder, TUR,MF,Marseille,25,1997,6,1,173,1.9,0,0,0,0,0
687,Dayot Upamecano, FRA,DF,Bayern Munich,23,1998,10,9,713,7.9,0,0,0,0,0
688,Mateus Uribe, COL,MF,Porto,31,1991,7,7,610,6.8,1,0,1,0,1
689,Enrique Valiente, ESP,DF,Sevilla,20,2002,2,2,180,2.0,0,0,0,0,0
690,Jesús Vallejo, ESP,DF,Real Madrid,25,1997,1,0,18,0.2,0,0,0,0,0
691,Federico Valverde, URU,"MF,FW",Real Madrid,24,1998,11,11,967,10.7,2,3,5,2,0
692,Virgil van Dijk, NED,DF,Liverpool,31,1991,8,8,720,8.0,0,1,1,0,0
693,Hans Vanaken, BEL,MF,Club Brugge,29,1992,8,8,703,7.8,0,0,0,0,0
694,Denis Vavro, SVK,DF,FC Copenhagen,26,1996,4,4,360,4.0,0,0,0,0,0
695,Lucas Vázquez, ESP,DF,Real Madrid,31,1991,5,2,202,2.2,0,1,1,0,0
696,Jordan Veretout, FRA,MF,Marseille,29,1993,6,6,485,5.4,0,1,1,0,0
697,Lucas Veríssimo, BRA,DF,Benfica,27,1995,2,0,6,0.1,0,0,0,0,0
698,Gabriel Veron, BRA,"MF,FW",Porto,19,2002,3,0,47,0.5,0,0,0,0,0
699,Marco Verratti, ITA,MF,Paris S-G,29,1992,7,7,623,6.9,0,1,1,0,0
700,Vitinha, POR,MF,Paris S-G,22,2000,8,7,584,6.5,0,0,0,0,0
701,Odisseas Vlachodimos, GRE,GK,Benfica,28,1994,10,10,900,10.0,0,0,0,0,0
702,Dušan Vlahović, SRB,FW,Juventus,22,2000,5,5,411,4.6,1,1,2,1,0
703,Adam Vlkanova, CZE,MF,Viktoria Plzeň,27,1994,6,6,458,5.1,1,1,2,1,0
704,Stefan de Vrij, NED,DF,Inter,30,1992,7,3,299,3.3,0,0,0,0,0
705,Kyle Walker, ENG,"DF,FW",Manchester City,32,1990,5,3,282,3.1,0,0,0,0,0
706,Paul Wanner, GER,"DF,FW",Bayern Munich,16,2005,2,0,36,0.4,0,0,0,0,0
707,Stephen Welsh, SCO,DF,Celtic,22,2000,1,1,90,1.0,0,0,0,0,0
708,Wendell, BRA,DF,Porto,29,1993,6,1,143,1.6,0,0,0,0,0
709,Timo Werner, GER,FW,RB Leipzig,26,1996,8,7,500,5.6,2,2,4,2,0
710,Owen Wijndal, NED,DF,Ajax,22,1999,2,1,76,0.8,0,1,1,0,0
711,Josh Wilson-Esbrand, ENG,DF,Manchester City,19,2002,2,0,46,0.5,0,0,0,0,0
712,Axel Witsel, BEL,"DF,MF",Atlético Madrid,33,1989,6,5,462,5.1,0,1,1,0,0
713,Maximilian Wöber, AUT,DF,RB Salzburg,24,1998,3,2,165,1.8,0,1,1,0,0
714,Marius Wolf, GER,DF,Dortmund,27,1995,4,2,176,2.0,0,0,0,0,0
715,Scott Wright, SCO,"FW,MF",Rangers,24,1997,4,2,136,1.5,0,0,0,0,0
716,Roman Yaremchuk, UKR,FW,Club Brugge,26,1995,4,1,112,1.2,0,0,0,0,0
717,Rıdvan Yılmaz, TUR,DF,Rangers,21,2001,1,1,90,1.0,0,0,0,0,0
718,Warren Zaire-Emery, FRA,MF,Paris S-G,16,2006,3,1,83,0.9,0,0,0,0,0
719,Denis Zakaria, SUI,MF,Chelsea,25,1996,2,1,74,0.8,1,0,1,1,0
720,Andre-Frank Zambo Anguissa, CMR,MF,Napoli,26,1995,8,8,650,7.2,1,3,4,1,0
721,Alessandro Zanoli, ITA,DF,Napoli,21,2000,2,0,12,0.1,0,0,0,0,0
722,Zeca, GRE,MF,FC Copenhagen,33,1988,2,2,161,1.8,0,0,0,0,0
723,Alessio Zerbin, ITA,FW,Napoli,23,1999,3,0,56,0.6,0,0,0,0,0
724,Piotr Zieliński, POL,MF,Napoli,28,1994,10,8,619,6.9,4,2,6,2,2
725,Hakim Ziyech, MAR,"FW,MF",Chelsea,29,1993,4,1,148,1.6,0,0,0,0,0
726,Oleksandr Zubkov, UKR,"FW,MF",Shakhtar,25,1996,5,5,365,4.1,2,0,2,2,0
727,Neven Đurasek, CRO,MF,Shakhtar,23,1998,5,0,91,1.0,0,0,0,0,0
