ID,Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK
286,Theo Hernández, FRA,DF,Milan,24,1997,11,11,945,10.5,0,1,1,0,0
287,Son Heung-min, KOR,"MF,FW",Tottenham,30,1992,8,8,618,6.9,2,0,2,2,0
288,Piero Hincapié, ECU,DF,Leverkusen,20,2002,5,5,450,5.0,0,0,0,0,0
289,Adam Hložek, CZE,"MF,FW",Leverkusen,20,2002,6,3,275,3.1,0,1,1,0,0
290,Libor Holík, CZE,DF,Viktoria Plzeň,24,1998,6,2,290,3.2,0,1,1,0,0
291,Lukáš Hrádecký, FIN,GK,Leverkusen,32,1989,6,6,540,6.0,0,0,0,0,0
292,Callum Hudson-Odoi, ENG,FW,Leverkusen,21,2000,6,6,461,5.1,1,0,1,1,0
293,Mats Hummels, GER,DF,Dortmund,33,1988,4,4,315,3.5,0,0,0,0,0
294,Pierre Højbjerg, DEN,MF,Tottenham,26,1995,7,7,624,6.9,1,2,3,1,0
295,Samuel Iling-Junior, ENG,DF,Juventus,18,2003,1,0,21,0.2,0,1,1,0,0
296,Gonçalo Inácio, POR,DF,Sporting CP,20,2001,6,6,540,6.0,0,0,0,0,0
297,Isco, ESP,"MF,FW",Sevilla,30,1992,6,5,399,4.4,1,1,2,1,0
298,Franco Israel, URU,GK,Sporting CP,22,2000,2,1,155,1.7,0,0,0,0,0
299,Luka Ivanušec, CRO,MF,Dinamo Zagreb,23,1998,6,6,524,5.8,0,0,0,0,0
300,Ryan Jack, SCO,MF,Rangers,30,1992,4,2,191,2.1,0,1,1,0,0
301,Kristijan Jakić, CRO,DF,Eint Frankfurt,25,1997,8,7,616,6.8,0,0,0,0,0
302,Reece James, ENG,"DF,MF",Chelsea,22,1999,8,8,691,7.7,1,1,2,1,0
303,Adnan Januzaj, BEL,"FW,MF",Sevilla,27,1995,3,0,52,0.6,0,0,0,0,0
304,Luis Javier Suárez, COL,FW,Marseille,24,1997,4,1,114,1.3,0,0,0,0,0
305,Elias Jelert, DEN,"DF,MF",FC Copenhagen,19,2003,4,2,192,2.1,0,0,0,0,0
306,Václav Jemelka, CZE,DF,Viktoria Plzeň,27,1995,6,4,361,4.0,0,1,1,0,0
307,Valdemar Jensen, DEN,DF,FC Copenhagen,19,2003,4,3,304,3.4,0,0,0,0,0
308,Moritz Jenz, GER,DF,Celtic,23,1999,6,6,540,6.0,0,0,0,0,0
309,Juan Jesus, BRA,DF,Napoli,31,1991,3,2,205,2.3,0,0,0,0,0
310,Erik Jirka, SVK,"FW,MF",Viktoria Plzeň,24,1997,6,2,266,3.0,0,0,0,0,0
311,Ísak Jóhannesson, ISL,"FW,MF",FC Copenhagen,19,2003,5,3,290,3.2,0,0,0,0,0
312,Curtis Jones, ENG,"FW,MF",Liverpool,21,2001,2,1,100,1.1,0,0,0,0,0
313,Frenkie de Jong, NED,MF,Barcelona,25,1997,4,2,237,2.6,0,0,0,0,0
314,Joan Jordán, ESP,MF,Sevilla,28,1994,6,2,260,2.9,0,0,0,0,0
315,Jorginho, ITA,MF,Chelsea,30,1991,6,4,418,4.6,1,0,1,0,1
316,Jota, POR,FW,Celtic,23,1999,4,3,285,3.2,2,0,2,2,0
317,Diogo Jota, POR,"FW,MF",Liverpool,25,1996,6,3,263,2.9,0,4,4,0,0
318,Vinicius Júnior, BRA,FW,Real Madrid,22,2000,12,11,972,10.8,7,6,13,7,0
319,Josip Juranović, CRO,DF,Celtic,26,1995,6,6,540,6.0,0,0,0,0,0
320,Jutglà, ESP,FW,Club Brugge,23,1999,8,6,511,5.7,2,2,4,1,1
321,Issa Kaboré, BFA,DF,Marseille,21,2001,4,0,113,1.3,0,0,0,0,0
322,Pierre Kalulu, FRA,DF,Milan,22,2000,10,8,751,8.3,0,0,0,0,0
323,Lukáš Kalvach, CZE,MF,Viktoria Plzeň,27,1995,6,6,492,5.5,0,0,0,0,0
324,Daichi Kamada, JPN,"MF,FW",Eint Frankfurt,25,1996,8,8,696,7.7,3,0,3,2,1
325,Glen Kamara, FIN,MF,Rangers,26,1995,4,1,127,1.4,0,0,0,0,0
326,Dijon Kameri, KVX,MF,RB Salzburg,18,2004,4,1,121,1.3,0,0,0,0,0
327,Kevin Kampl, SVN,MF,RB Leipzig,31,1990,5,3,273,3.0,0,0,0,0,0
328,Harry Kane, ENG,FW,Tottenham,29,1993,8,8,720,8.0,1,2,3,0,1
329,N'Golo Kanté, FRA,MF,Chelsea,31,1991,2,2,164,1.8,0,0,0,0,0
330,Mamoudou Karamoko, FRA,FW,FC Copenhagen,22,1999,1,1,45,0.5,0,0,0,0,0
331,Moise Kean, ITA,"FW,MF",Juventus,22,2000,5,1,111,1.2,1,0,1,1,0
332,Ryan Kent, ENG,"FW,MF",Rangers,25,1996,6,6,507,5.6,0,0,0,0,0
333,Franck Kessié, CIV,MF,Barcelona,25,1996,6,3,274,3.0,1,0,1,1,0
334,Davit Khocholava, GEO,DF,FC Copenhagen,29,1993,5,5,428,4.8,0,0,0,0,0
335,Joshua Kimmich, GER,MF,Bayern Munich,27,1995,9,9,810,9.0,1,3,4,0,1
336,Presnel Kimpembe, FRA,DF,Paris S-G,26,1995,3,1,147,1.6,0,0,0,0,0
